product,rating,rating count,price,product url
Amazon Essentials Men's Tech Stretch Long Sleeve Tee  ,4.5 out of 5 stars,"2,114  ",12.,https://amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A02540622L0ZJULG68AGA&url=%2FAmazon-Essentials-Stretch-Long-Sleeve-T-Shirt%2Fdp%2FB072FR76N5%2Fref%3Dsr_1_1_sspa%3Fkeywords%3Dclothes%26qid%3D1662383313%26sr%3D8-1-spons%26psc%3D1&qualifier=1662383313&id=807773152994355&widgetName=sp_atf
Nike Everyday Lightweight Crew 3-Pair  ,4.5 out of 5 stars,"2,963  ",17.,https://amazon.com/Nike-Everyday-Lightweight-Training-Multi-Color/dp/B07LH4L1P5/ref=sr_1_2?keywords=clothes&qid=1662383313&sr=8-2
Trendy Queen Womens Oversized Half Zip Pullover Long Sleeve Sweatshirt Quarter Zip Hoodie Sweater Teen Girls Fall Y2K Clothes  ,4.5 out of 5 stars,94  ,29.,https://amazon.com/Trendy-Queen-Oversized-Sweatshirt-Pullover/dp/B0B5H3TR5C/ref=sr_1_3?keywords=clothes&qid=1662383313&sr=8-3
Gerber Unisex-Baby 8-Pack Cotton Flannel Burp Cloths  ,4.8 out of 5 stars,297  ,19.,https://amazon.com/Gerber-8-Pack-Flannel-Cloths-Jungle/dp/B08CQWVWPJ/ref=sr_1_4?keywords=clothes&qid=1662383313&sr=8-4
EFAN Women's Cute Hoodies Teen Girl Fall Jacket Oversized Sweatshirts Casual Drawstring Clothes Zip Up Y2K Hoodie with Pocket  ,4.5 out of 5 stars,867  ,36.,https://amazon.com/EFAN-Oversized-Sweatshirts-Drawstring-Hoodies/dp/B09D2RNYZS/ref=sr_1_5?keywords=clothes&qid=1662383313&sr=8-5
Simple Joys by Carter's Baby Boys' 6-Piece Bodysuits (Short and Long Sleeve) and Pants Set  ,4.8 out of 5 stars,"9,083  ",20.,https://amazon.com/Simple-Joys-Carters-6-Piece-Character/dp/B01M7XQXOJ/ref=sr_1_6?keywords=clothes&qid=1662383313&sr=8-6
MakeMeChic Women's Casual Drawstring Waist Sweat Shorts Running Track Shorts  ,4.4 out of 5 stars,"1,721  ",18.,https://amazon.com/MakeMeChic-Womens-Casual-Drawstring-Running/dp/B09KH1KQDJ/ref=sr_1_7?keywords=clothes&qid=1662383313&sr=8-7
Origiwish Women's High Waisted Running Shorts with Liner Quick Dry Athletic Workout Shorts Zipper Pockets  ,4.3 out of 5 stars,262  ,19.,https://amazon.com/Origiwish-Waisted-Running-Athletic-Workout/dp/B09V1GZWR3/ref=sr_1_8?keywords=clothes&qid=1662383313&sr=8-8
"QGGQDD 3 Pack High Waisted Biker Shorts for Women – 5"" Buttery Soft Black Workout Yoga Athletic Shorts  ",4.3 out of 5 stars,"5,118  ",20.,https://amazon.com/QGGQDD-Waisted-Biker-Shorts-Women/dp/B08YQWRK1W/ref=sr_1_9?keywords=clothes&qid=1662383313&sr=8-9
"Hanes Men's Hoodie, EcoSmart Fleece Zip-Front Hooded Sweatshirt, Cotton-Blend Fleece Hooded Sweatshirt, Mid-Weight Zip-Up  ",4.6 out of 5 stars,"68,694  ",15.,https://amazon.com/Hanes-Full-Zip-EcoSmart-Fleece-Hoodie/dp/B071WC2NK8/ref=sr_1_10?keywords=clothes&qid=1662383313&sr=8-10
"CHRLEISURE Butt Lifting Workout Leggings for Women, Scrunch Butt Gym Seamless Booty Tight  ",4.2 out of 5 stars,"4,690  ",18.,https://amazon.com/CHRLEISURE-Lifting-Workout-Leggings-Seamless/dp/B093W8LG3K/ref=sr_1_11?keywords=clothes&qid=1662383313&sr=8-11
Gerber unisex-baby 8-pack Short Sleeve Onesies Bodysuits  ,4.8 out of 5 stars,"70,453  ",15.,https://amazon.com/Gerber-8-Pack-Short-Sleeve-Onesies-Bodysuit/dp/B07GG1ZG8W/ref=sr_1_12?keywords=clothes&qid=1662383313&sr=8-12
OQQ Women's 3 Piece Medium Support Tank Top Ribbed Seamless Removable Cups Workout Exercise Sport Bra  ,4.5 out of 5 stars,880  ,36.,https://amazon.com/OQQ-Support-Seamless-Removable-Exercise/dp/B09QVZCKMZ/ref=sr_1_13?keywords=clothes&qid=1662383313&sr=8-13
"Champion Women's Powerblend Joggers, Script Logo  ",4.6 out of 5 stars,"14,018  ",14.,https://amazon.com/Champion-Womens-Powerblend-Jogger-Graphic/dp/B07K565B5M/ref=sr_1_14?keywords=clothes&qid=1662383313&sr=8-14
Calvin Klein Women's Modern Cotton Unlined Wireless Bralette  ,4.5 out of 5 stars,"22,926  ",19.,https://amazon.com/Calvin-Klein-Regular-Bralette-Heather/dp/B00GBCU18C/ref=sr_1_15?keywords=clothes&qid=1662383313&sr=8-15
4 Pieces Basic Crop Tank Tops Sleeveless Racerback Crop Cami Top for Women  ,4.4 out of 5 stars,"1,793  ",24.,https://amazon.com/Geyoga-Pieces-Sleeveless-Racerback-Elegant/dp/B08YQTKZ88/ref=sr_1_16?keywords=clothes&qid=1662383313&sr=8-16
Amazon Essentials Men's Long-Sleeve Water-Resistant Hooded Insulated Coat  ,4.5 out of 5 stars,220  ,20.,https://amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_1?ie=UTF8&adId=A04743952P0UC8UM0YIX0&url=%2FAmazon-Essentials-Long-Sleeve-Water-Resistant-Insulated%2Fdp%2FB08618HT5B%2Fref%3Dsr_1_17_sspa%3Fkeywords%3Dclothes%26qid%3D1662383313%26sr%3D8-17-spons%26psc%3D1&qualifier=1662383313&id=807773152994355&widgetName=sp_mtf
