product,rating,rating count,price,product url
Amazon Essentials Men's Slim-Fit Stretch Jean  ,4.3 out of 5 stars,"24,406  ",18.,https://amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A06375043OZJTDNT3TCGW&url=%2FAmazon-Essentials-Slim-Fit-Stretch-Vintage%2Fdp%2FB07NDDLC9D%2Fref%3Dsr_1_1_sspa%3Fkeywords%3Djeans%26qid%3D1662383722%26sr%3D8-1-spons%26psc%3D1&qualifier=1662383722&id=4175037124186867&widgetName=sp_atf
Amazon Essentials Men's Slim-Fit Stretch Jean  ,4.3 out of 5 stars,"24,406  ",20.,https://amazon.com/Amazon-Essentials-Mens-Slim-Fit-Stretch/dp/B07BJL3JRW/ref=sr_1_2?keywords=jeans&qid=1662383722&sr=8-2
Wrangler Authentics Men's Regular Fit Comfort Flex Waist Jean  ,4.6 out of 5 stars,"57,646  ",30.,https://amazon.com/Wrangler-Authentics-Comfort-Waist-Stonewash/dp/B074KKZK71/ref=sr_1_3?keywords=jeans&qid=1662383722&sr=8-3
Wrangler Men's Relaxed Fit Jean  ,4.5 out of 5 stars,"9,225  ",18.,https://amazon.com/Wrangler-Rugged-Vintage-Indigo-36x34/dp/B0007CKN1M/ref=sr_1_4?keywords=jeans&qid=1662383722&sr=8-4
Lee Men's Performance Series Extreme Motion Straight Fit Tapered Leg Jean  ,4.6 out of 5 stars,"23,593  ",33.,https://amazon.com/Modern-Extreme-Motion-Straight-Tapered/dp/B01LI4IDLY/ref=sr_1_5?keywords=jeans&qid=1662383722&sr=8-5
"Levi's Men's 511 Slim Fit Jean, Throttle - Stretch, 36W x 32L  ",4.5 out of 5 stars,"53,292  ",41.,https://amazon.com/Levis-Mens-Slim-Jean-Throttle/dp/B00GB7TL88/ref=sr_1_7?keywords=jeans&qid=1662383722&sr=8-7
WallFlower Women's Instastretch Luscious Curvy Bootcut Jeans  ,4.4 out of 5 stars,"39,133  ",36.,https://amazon.com/WallFlower-Juniors-Instastretch-Luscious-Bootcut/dp/B0731B8DQ6/ref=sr_1_8?keywords=jeans&qid=1662383722&sr=8-8
Levi's Men's 511 Slim Fit Jeans  ,4.6 out of 5 stars,"18,537  ",45.,https://amazon.com/Levis-Mens-Jeans-Stretch-Black/dp/B077GSCV72/ref=sr_1_9?keywords=jeans&qid=1662383722&sr=8-9
Lee Women's Secretly Shapes Regular Fit Straight Leg Jean  ,4.3 out of 5 stars,"5,856  ",34.,https://amazon.com/LEE-Secretly-Regular-Straight-Bewitched/dp/B07BZY6LTV/ref=sr_1_10?keywords=jeans&qid=1662383722&sr=8-10
Wrangler Authentics Men's Classic 5-Pocket Relaxed Fit Cotton Jean  ,4.5 out of 5 stars,"73,155  ",29.,https://amazon.com/Wrangler-Authentics-Classic-Relaxed-Stonewash/dp/B00XKXVM06/ref=sr_1_11?keywords=jeans&qid=1662383722&sr=8-11
Lee Men's Regular Fit Straight Leg Jeans  ,4.5 out of 5 stars,"26,724  ",28.,https://amazon.com/Mens-Regular-Straight-Jean-Pepperstone/dp/B0008EOG9E/ref=sr_1_12?keywords=jeans&qid=1662383722&sr=8-12
Amazon Essentials Men's Athletic-Fit Stretch Jean  ,4.3 out of 5 stars,"13,682  ",23.,https://amazon.com/Amazon-Essentials-Mens-Athletic-Fit-Stretch/dp/B07BJKXD5R/ref=sr_1_15?keywords=jeans&qid=1662383722&sr=8-15
Lee Women's Flex Motion Regular Fit Bootcut Jean  ,4.5 out of 5 stars,"6,729  ",28.,https://amazon.com/LEE-Womens-Regular-Bootcut-Majestic/dp/B07B6FD24M/ref=sr_1_16?keywords=jeans&qid=1662383722&sr=8-16
